corpus,dataset,capture,attack_type,representation,detector,n_seeds,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,fpr_mean,fpr_std,fpr_ci95_low,fpr_ci95_high,protocol_version,phase
road,correlated_signal_attack,correlated_signal_attack_1,correlated_signal_attack,raw,one_class_svm,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.804340400340636,0.022169310602771,0.7849081428159718,0.8237726578653003,0.2389694040166599,0.0158298950466494,0.2250938892274697,0.2528449188058501,0.0185857620640229,0.000666706768765,0.0180013678148638,0.0191701563131819,pre_injection_v1,C
road,correlated_signal_attack,correlated_signal_attack_1,correlated_signal_attack,residual,autoencoder,5,0.2203916219453471,0.0200085818429571,0.2028533266847328,0.2379299172059615,0.999523922875506,1.2412670766236366e-16,0.9995239228755058,0.999523922875506,0.3607961177438507,0.0270265074289112,0.3371063394841149,0.3844858960035865,0.9083749864365088,0.0008989382902764,0.9075870322836516,0.909162940589366,0.2747759363379946,0.0017751942190439,0.2732199099987522,0.276331962677237,0.2753537432467198,0.0330945301997963,0.2463451085163354,0.3043623779771042,pre_injection_v1,C
road,correlated_signal_attack,correlated_signal_attack_1,correlated_signal_attack,residual,elliptic_envelope,5,0.2563631777023037,0.0018678641265241,0.2547259226077243,0.2580004327968832,0.9990478457510116,0.0,0.9990478457510116,0.9990478457510116,0.4080214506084282,0.0023649544115241,0.4059484766679087,0.4100944245489477,0.9084231802999988,0.0001591606395219,0.908283669848348,0.9085626907516496,0.2747780801537986,0.0004006150820578,0.2744269255517317,0.2751292347558655,0.2237311183799478,0.0021883586920403,0.2218129374124823,0.2256492993474132,pre_injection_v1,C
road,correlated_signal_attack,correlated_signal_attack_1,correlated_signal_attack,residual,hbos,5,0.2168251343530384,0.0,0.2168251343530384,0.2168251343530384,0.9988098071887646,0.0,0.9988098071887646,0.9988098071887646,0.3563028064365473,0.0,0.3563028064365473,0.3563028064365473,0.9407545648327624,1.2412670766236366e-16,0.9407545648327622,0.9407545648327624,0.4162626833062651,6.206335383118183e-17,0.4162626833062651,0.4162626833062652,0.2785107868719909,0.0,0.2785107868719909,0.2785107868719909,pre_injection_v1,C
road,correlated_signal_attack,correlated_signal_attack_1,correlated_signal_attack,residual,isolation_forest,5,0.2743929333275276,0.0198814778830117,0.2569660496000151,0.2918198170550401,0.9989050226136632,0.0002714057189,0.9986671250119816,0.9991429202153448,0.4302177034298456,0.0244027259784368,0.4088277710132043,0.4516076358464869,0.9619080656386634,0.0054243006027887,0.9571534565263976,0.966662674750929,0.4917346143417982,0.040847765084574,0.4559299695942426,0.527539259089354,0.205097578007277,0.0203139573862935,0.1872916092810247,0.2229035467335292,pre_injection_v1,C
road,correlated_signal_attack,correlated_signal_attack_1,correlated_signal_attack,residual,lof,5,0.1810567010141807,0.016200640990795,0.1668562130766617,0.1952571889516997,0.9998095691502022,0.0002607581801976,0.9995810045276908,1.0000381337727138,0.3063363762223798,0.0231876967124577,0.2860114639148239,0.3266612885299358,0.908814739693516,0.0001932996018719,0.9086453051219908,0.9089841742650412,0.2755896063654122,0.0004724566096112,0.2751754798879723,0.276003732842852,0.3518504906464773,0.0382798135688876,0.318296754646505,0.3854042266464495,pre_injection_v1,C
road,correlated_signal_attack,correlated_signal_attack_1,correlated_signal_attack,residual,one_class_svm,5,0.1578014550895431,0.0043458472227612,0.1539921520440534,0.1616107581350328,0.9999523922875506,0.0001064540812901,0.9998590811711496,1.0000457034039516,0.2725667687289188,0.0064811450351808,0.2668857946276046,0.278247742830233,0.9290494618656652,9.008315885430026e-05,0.9289705004954693,0.9291284232358608,0.3527425254806807,0.0002942016667829,0.3524846463496807,0.3530004046116807,0.412293726340549,0.013512930518335,0.4004491205045714,0.4241383321765267,pre_injection_v1,C
road,fuzzing_attack,fuzzing_attack_1,fuzzing_attack,raw,autoencoder,5,0.6967154965024751,0.1113989120914455,0.5990700448005248,0.7943609482044254,0.0953556023673387,0.0405024445308556,0.0598536444307828,0.1308575603038946,0.1632364784199055,0.0603887525804836,0.1103034029281256,0.2161695539116854,0.584949407928168,0.0177315096137961,0.5694070544788333,0.6004917613775026,0.3850134899307845,0.0216918401285223,0.3659997537296864,0.4040272261318826,0.018647193331858,0.0175553824092201,0.0032592221841541,0.0340351644795619,pre_injection_v1,C
road,fuzzing_attack,fuzzing_attack_1,fuzzing_attack,raw,elliptic_envelope,5,0.5690899366763233,0.0170396831826532,0.5541539958310261,0.5840258775216206,0.1473969304845019,0.0029728284283789,0.1447911314755926,0.1500027294934112,0.234109331931724,0.0039956508319613,0.2306069895568733,0.2376116743065748,0.6038299209958484,0.0005066227524273,0.6033858465738051,0.6042739954178917,0.4236753053533295,0.0014533352440476,0.4224014008446131,0.424949209862046,0.0411005384672125,0.0028568858667705,0.038596367594406,0.0436047093400189,pre_injection_v1,C
road,fuzzing_attack,fuzzing_attack_1,fuzzing_attack,raw,hbos,5,0.5354545454545454,0.0,0.5354545454545454,0.5354545454545454,0.0590831577891463,0.0,0.0590831577891463,0.0590831577891463,0.1064233444755623,0.0,0.1064233444755623,0.1064233444755623,0.6018701920040049,0.0,0.6018701920040049,0.6018701920040049,0.3699985998612879,0.0,0.3699985998612879,0.3699985998612879,0.0188463524378549,0.0,0.0188463524378549,0.0188463524378549,pre_injection_v1,C
