corpus,dataset,capture,attack_type,representation,detector,seed,precision,recall,f1,roc_auc,pr_auc,fpr,train_seconds,score_seconds,runtime_seconds,peak_rss_mb,model_bytes,protocol_version,phase
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,elliptic_envelope,4,0.0,0.0,0.0,0.8562950781467433,0.1420097919025046,0.0133827309844246,0.5798217999999906,0.0103140999999595,0.5901358999999502,592.1875,66831,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,autoencoder,0,0.0,0.0,0.0,0.898301960791656,0.1868025675202523,0.0345909572055043,1.8229734000015012,0.0151635999991412,1.8381370000006427,591.5703125,18610,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,autoencoder,1,0.0,0.0,0.0,0.9284826979545135,0.2447208947333948,0.0123620142144261,2.1958040000008623,0.0139488000004348,2.209752800001297,591.9375,18610,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,autoencoder,2,0.0,0.0,0.0,0.8216288151667537,0.1144791418443364,0.0131937093603508,1.906528999999864,0.0172568999987561,1.92378589999862,591.9375,18610,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,autoencoder,3,0.0745121230041395,0.0917698470502549,0.0822454308093994,0.8709505180211261,0.159020624771522,0.0591637683350975,1.9293376999994507,0.0125026999994588,1.9418403999989096,591.9921875,18610,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,autoencoder,4,0.0687919463087248,0.0298616168973051,0.0416455053326561,0.8579116053935565,0.1413534880848327,0.0209814002721911,1.6083863000003475,0.0139173999996273,1.622303699999975,592.04296875,18610,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,isolation_forest,0,0.5578118524658102,0.9803350327749454,0.711040676175383,0.9864015668447096,0.6273951537411343,0.0403372145773476,0.894983799998954,0.3084333000006154,1.2034170999995697,592.3046875,2022287,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,isolation_forest,1,0.5382470119521913,0.9839766933721776,0.695853721349472,0.986724569418928,0.625405933725335,0.0438152124603054,0.3997824000016408,0.1752676000014617,0.5750500000031025,593.21484375,2119439,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,isolation_forest,2,0.5337278106508876,0.9854333576110706,0.6924257932446264,0.9891991694833138,0.6752319345547032,0.0446847119310449,0.2809733000012784,0.1729515000006358,0.4539248000019142,592.49609375,2079663,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,residual,isolation_forest,3,0.5613816063254266,0.9825200291332848,0.7145127118644068,0.9862106178333546,0.6258348186924506,0.0398457583547557,0.2447451999996701,0.1693166999993991,0.4140618999990693,592.625,2031615,pre_injection_v1,C
