corpus,dataset,representation,detector,train_seconds,score_seconds,wall_seconds,n_test,windows_per_sec,frames_per_sec_est,peak_rss_mb,model_bytes,complexity_note,capture
road,reverse_light_on_attack,raw,one_class_svm,0.026610900000378024,0.550041999998939,1.484060300001147,60931,110775.17716850265,3323255.3150550793,537.5625,30010,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,reverse_light_on_attack_1
road,reverse_light_on_attack,raw,lof,0.035937399999966146,0.2881952999996429,1.1792595000006258,60931,211422.6012709975,6342678.038129925,534.51953125,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,reverse_light_on_attack_1
road,reverse_light_on_attack,raw,hbos,0.0023680000012973323,0.01130390000071202,0.6177313999996841,60931,5390263.537023685,161707906.11071056,536.69921875,3711,Train O(n d b); score O(d) — lightest,reverse_light_on_attack_1
road,reverse_light_on_attack,raw,elliptic_envelope,0.17714449999948556,0.007344900001044152,1.017944900000657,60931,8295688.163397465,248870644.90192395,534.33984375,66831,Train robust cov ~O(n d^2); score O(d^2),reverse_light_on_attack_1
road,reverse_light_on_attack,raw,autoencoder,0.4294337000010273,0.013226700000814162,1.2766176000004634,60931,4606666.817592402,138200004.52777207,536.5625,18610,Train O(epochs n d h); score O(d h),reverse_light_on_attack_1
road,reverse_light_on_attack,residual,isolation_forest,0.18995800000084273,0.3635279000009177,1.4350053999987722,60931,167610.24394508972,5028307.318352692,536.9453125,2068399,Train O(T ψ log ψ); score O(T log ψ) per sample,reverse_light_on_attack_1
road,reverse_light_on_attack,residual,one_class_svm,0.0294887000000017,0.6681172999997216,1.5592567000003328,60931,91198.05758663245,2735941.7275989735,537.51171875,35418,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,reverse_light_on_attack_1
road,reverse_light_on_attack,residual,lof,0.37019640000107756,3.63067879999835,5.025078399999984,60931,16782.261212428843,503467.83637286525,534.25,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,reverse_light_on_attack_1
road,reverse_light_on_attack,residual,hbos,0.0022641000014118617,0.014257400000133202,0.7941859000002296,60931,4273640.355144047,128209210.65432142,536.50390625,3711,Train O(n d b); score O(d) — lightest,reverse_light_on_attack_1
road,reverse_light_on_attack,residual,elliptic_envelope,0.17375259999971604,0.007243300000482122,1.0051879000002373,60931,8412049.75576662,252361492.67299864,534.26953125,66831,Train robust cov ~O(n d^2); score O(d^2),reverse_light_on_attack_1
road,reverse_light_on_attack,residual,autoencoder,0.42663979999997537,0.014255300000513671,1.267813100001149,60931,4274269.92050707,128228097.61521208,535.97265625,18610,Train O(epochs n d h); score O(d h),reverse_light_on_attack_1
