corpus,dataset,capture,attack_type,representation,detector,n_seeds,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,fpr_mean,fpr_std,fpr_ci95_low,fpr_ci95_high
hcrl,Fuzzy,Fuzzy,Fuzzy,residual,hbos,5,0.2861325525685387,0.0,0.2861325525685387,0.2861325525685387,0.8294753086419753,0.0,0.8294753086419753,0.8294753086419753,0.4254898080348307,6.206335383118183e-17,0.42548980803483066,0.4254898080348308,0.911919420881438,0.0,0.911919420881438,0.911919420881438,0.5566752385166889,0.0,0.5566752385166889,0.5566752385166889,0.1382545492035672,0.0,0.1382545492035672,0.1382545492035672
hcrl,Fuzzy,Fuzzy,Fuzzy,residual,isolation_forest,5,0.32262182392595157,0.01669321780525903,0.30798957337385013,0.337254074478053,0.9734567901234568,0.010024927017846737,0.9646695541571559,0.9822440260897576,0.48436928590817113,0.01785221675406899,0.46872112798539683,0.5000174438309454,0.9750022194729396,0.0015298519173917418,0.9736612451428834,0.9763431938029958,0.7737650685450329,0.009715393965526708,0.7652491502616702,0.7822809868283956,0.1370379916490541,0.011413872096627874,0.12703329164239127,0.1470426916557169
hcrl,Fuzzy,Fuzzy,Fuzzy,residual,lof,5,0.5118828219390544,0.08380317607874735,0.4384260993496088,0.5853395445285,0.3859567901234568,0.10813679148261074,0.29117071320691235,0.48074286704000124,0.43776394750685305,0.09936088534190189,0.35067029148666345,0.5248576035270426,0.8242840250770213,0.01357612014944359,0.812384031087276,0.8361840190667665,0.4860669106745895,0.09143092626143395,0.4059241702589854,0.5662096510901936,0.02399092736739007,0.003839556432393978,0.020625407766368502,0.027356446968411635
hcrl,Fuzzy,Fuzzy,Fuzzy,residual,one_class_svm,5,0.41587634307704074,0.004479023477718032,0.41195030589719467,0.4198023802568868,0.7032407407407406,0.005866227718749433,0.6980987654320987,0.7083827160493825,0.5226373083723412,0.003065275834604829,0.5199504756390434,0.5253241411056391,0.7990090490855135,0.008738317759907334,0.7913495758576161,0.8066685223134109,0.6166568567042526,0.0028432862289391307,0.614164606439593,0.6191491069689122,0.06600340223722873,0.0015756647938421906,0.06462227115042526,0.06738453332403219
hcrl,RPM,RPM,RPM,raw,autoencoder,5,0.19002135507668413,0.42490066712809044,-0.1824205008736167,0.5624632110269849,0.19837859748682612,0.44358802926161217,-0.1904434535873531,0.5872006485610053,0.19411006445215667,0.4340432992318878,-0.18634566187407037,0.5745657907783837,0.97664069559213,0.012238103963747507,0.9659135244996996,0.9873678666845603,0.7888331888653415,0.08162112596033098,0.7172891175347713,0.8603772601959117,0.013648713440946142,0.002586490016998615,0.011381554980501814,0.01591587190139047
hcrl,RPM,RPM,RPM,raw,elliptic_envelope,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8376044259425525,0.01760956813803497,0.8221689589094167,0.8530398929756883,0.40276385592538394,0.024714206748463023,0.38110089857596136,0.4244268132748065,0.011240743700388897,0.0017568198229014067,0.009700823229484037,0.012780664171293758
hcrl,RPM,RPM,RPM,raw,hbos,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6157699836121391,0.0,0.6157699836121391,0.6157699836121391,0.37583865507140807,0.0,0.37583865507140807,0.37583865507140807,0.009535986361941293,0.0,0.009535986361941293,0.009535986361941293
hcrl,RPM,RPM,RPM,raw,isolation_forest,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8737772025287089,0.015345883252459116,0.8603259427828175,0.8872284622746004,0.4631998278823318,0.026902757581505767,0.4396185211464295,0.48678113461823413,0.005124926748708113,0.0015266414882175352,0.003786766483897179,0.006463087013519047
hcrl,RPM,RPM,RPM,raw,lof,5,0.0035034633344055294,6.065702134463807e-05,0.003450295110974137,0.003556631557836922,0.0008107012565869477,0.0,0.0008107012565869477,0.0008107012565869477,0.001316666759213315,4.269060177204273e-06,0.0013129247629808586,0.0013204087554457714,0.7412682721712984,0.0049620034642477405,0.7369188843674447,0.7456176599751522,0.3072832781964686,0.0038206951347490923,0.30393429125176874,0.3106322651411685,0.06062543284854296,0.001048693180173114,0.05970621274708721,0.0615446529499987
hcrl,RPM,RPM,RPM,raw,one_class_svm,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9751301787505356,0.002363118302758782,0.9730588142303094,0.9772015432707619,0.7728418280058497,0.013942484599784569,0.7606207014164277,0.7850629545952716,0.01097437536625646,0.0012657401705307891,0.009864905189498124,0.012083845543014797
