corpus,dataset,capture,attack_type,representation,detector,seed,precision,recall,f1,roc_auc,pr_auc,fpr,train_seconds,score_seconds,runtime_seconds,peak_rss_mb,model_bytes
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,autoencoder,2,0.452914798206278,0.9901960784313726,0.6215384615384615,0.9942326966783833,0.35275158681890534,0.008783297336213103,2.2254252999991877,0.008071899999777088,2.233497199998965,586.3515625,18610
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,autoencoder,3,0.45685279187817257,0.8823529411764706,0.6020066889632106,0.9941790539109812,0.3558182331978804,0.007703383729301656,2.1978210999986914,0.01163520000045537,2.2094562999991467,586.35546875,18610
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,autoencoder,4,0.45739910313901344,1.0,0.6276923076923077,0.9958081000578777,0.42428837886244947,0.00871130309575234,1.970943600001192,0.010315399998944486,1.9812590000001364,586.421875,18610
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,isolation_forest,0,0.15338345864661654,1.0,0.26597131681877445,1.0,1.0,0.040532757379409645,0.9350424000003841,0.22014250000029278,1.1551849000006769,585.64453125,1918799
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,isolation_forest,1,0.20318725099601595,1.0,0.33774834437086093,1.0,1.0,0.028797696184305256,1.058569599999828,0.1945676999985153,1.2531372999983432,585.953125,1976351
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,isolation_forest,2,0.13991769547325103,1.0,0.24548736462093862,1.0,1.0,0.04514038876889849,1.0655863000010868,0.20525199999974575,1.2708383000008325,585.078125,1978463
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,isolation_forest,3,0.15813953488372093,1.0,0.27309236947791166,1.0,1.0,0.039092872570194385,0.888022600000113,0.2011157999986608,1.0891383999987738,586.0703125,1890639
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,isolation_forest,4,0.10504634397528322,1.0,0.19012115563839704,1.0,1.0,0.06256299496040317,1.0283901000002516,0.2252613000000565,1.253651400000308,586.0703125,1904543
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,one_class_svm,0,0.09306569343065693,1.0,0.17028380634390652,0.9909647228221742,0.28895184135977336,0.07156227501799856,0.08061950000046636,0.44259019999844895,0.5232096999989153,586.21875,34234
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,one_class_svm,1,0.102,1.0,0.18511796733212338,0.9904967602591793,0.2786885245901639,0.0646508279337653,0.10095530000035069,0.5043944000008196,0.6053497000011703,586.06640625,34106
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,one_class_svm,2,0.09631728045325778,1.0,0.17571059431524547,0.9905327573794097,0.27945205479452057,0.06889848812095033,0.1275749000014912,0.5468060999992304,0.6743810000007215,583.89453125,34634
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,one_class_svm,3,0.09788867562380038,1.0,0.1783216783216783,0.9910007199424047,0.2897727272727273,0.06767458603311735,0.09990229999857547,0.5584624999992229,0.6583647999977984,584.59765625,33978
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,one_class_svm,4,0.10119047619047619,1.0,0.18378378378378377,0.989812814974802,0.2649350649350649,0.0652267818574514,0.10613700000067183,0.497753499999817,0.6038905000004888,577.5625,34506
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,lof,0,0.09788867562380038,1.0,0.1783216783216783,1.0,1.0,0.06767458603311735,0.9649229000006017,2.313250399998651,3.2781732999992528,582.22265625,2514956
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,lof,1,0.09631728045325778,1.0,0.17571059431524547,1.0,0.9999999999999998,0.06889848812095033,0.9271752000004199,2.0897533999996085,3.0169286000000284,585.41015625,2514956
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,lof,2,0.09375,1.0,0.17142857142857143,1.0,0.9999999999999998,0.07098632109431245,0.9995862999985548,2.3478556999998546,3.3474419999984093,584.2578125,2514956
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,lof,3,0.09444444444444444,1.0,0.17258883248730963,1.0,1.0,0.07041036717062635,1.0308139999997366,2.0789267999989534,3.10974079999869,585.1875,2514956
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,lof,4,0.08326530612244898,1.0,0.15373021853805574,1.0,0.9999999999999999,0.080849532037437,1.0190449000001536,2.3389841000007436,3.358029000000897,585.22265625,2514956
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,hbos,0,0.15201192250372578,1.0,0.26390685640362227,1.0,1.0,0.04096472282217423,0.017063999999663793,0.008323699999891687,0.02538769999955548,584.7421875,3711
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,hbos,1,0.15201192250372578,1.0,0.26390685640362227,1.0,1.0,0.04096472282217423,0.016898799998671166,0.00716649999958463,0.024065299998255796,580.484375,3711
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,hbos,2,0.15201192250372578,1.0,0.26390685640362227,1.0,1.0,0.04096472282217423,0.014617500000895234,0.007414199999402626,0.02203170000029786,581.02734375,3711
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,hbos,3,0.15201192250372578,1.0,0.26390685640362227,1.0,1.0,0.04096472282217423,0.014427699999941979,0.005730799999582814,0.020158499999524793,581.02734375,3711
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,residual,hbos,4,0.15201192250372578,1.0,0.26390685640362227,1.0,1.0,0.04096472282217423,0.01786020000145072,0.012550999999803025,0.030411200001253746,581.02734375,3711
